Symbol,Name,LastSale,IPOyear,MarketCap,Sector,Industry,Exchange
ASTE,"Astec Industries, Inc.",37.83,1986.0,862430635.56,Capital Goods,Construction/Ag Equipment/Trucks,NASDAQ
ATRO,Astronics Corporation,30.67,,991154139.77,Capital Goods,Military/Government/Technical,NASDAQ
ATRA,"Atara Biotherapeutics, Inc.",37.25,2014.0,1700397908.5,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),NASDAQ
ATHN,"athenahealth, Inc.",133.83,2007.0,5510856156.39,Miscellaneous,Business Services,NASDAQ
AY,Atlantica Yield plc,18.06,2014.0,1809923715.6,Public Utilities,Electric Utilities: Central,NASDAQ
AAWW,Atlas Air Worldwide Holdings,50.55,,1293589311.15,Transportation,Transportation Services,NASDAQ
TEAM,Atlassian Corporation Plc,90.67,2015.0,21592749955.25,Technology,Computer Software: Prepackaged Software,NASDAQ
ATNI,"ATN International, Inc.",76.2,,1216568966.4,Public Utilities,Telecommunications Equipment,NASDAQ
ATRC,"AtriCure, Inc.",31.73,2005.0,1222451112.18,Health Care,Medical/Dental Instruments,NASDAQ
ATRI,Atrion Corporation,765.82,,1418877599.92,Health Care,Medical/Dental Instruments,NASDAQ
BOLD,"Audentes Therapeutics, Inc.",24.56,2016.0,1048463796.64,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),NASDAQ
ADSK,"Autodesk, Inc.",141.73,,31040122326.28,Technology,Computer Software: Prepackaged Software,NASDAQ
ADP,"Automatic Data Processing, Inc.",135.18,,59172679214.82,Technology,EDP Services,NASDAQ
CAR,"Avis Budget Group, Inc.",27.0,,2088345726.0,Consumer Services,Rental/Leasing Companies,NASDAQ
AVT,"Avnet, Inc.",42.49,,4726001025.55,Consumer Non-Durables,Electronic Components,NASDAQ
AAXN,"Axon Enterprise, Inc.",50.19,,2951715156.18,Capital Goods,Ordnance And Accessories,NASDAQ
BIDU,"Baidu, Inc.",171.36,2005.0,48106992931.2,Technology,"Computer Software: Programming, Data Processing",NASDAQ
BCPC,Balchem Corporation,83.68,,2698505527.2,Basic Industries,Major Chemicals,NASDAQ
BANF,BancFirst Corporation,54.21,1993.0,1775577534.9,Finance,Major Banks,NASDAQ
OZK,Bank OZK,32.06,,4123365705.62,Finance,Major Banks,NASDAQ
BANR,Banner Corporation,56.29,,2001766291.72,Finance,Major Banks,NASDAQ
BZUN,Baozun Inc.,33.29,2015.0,1442295142.33,Consumer Services,Catalog/Specialty Distribution,NASDAQ
GOLD,Barrick Gold Corporation,11.79,,20647384285.5,Basic Industries,Precious Metals,NASDAQ
BECN,"Beacon Roofing Supply, Inc.",34.2,2004.0,2351461390.2,Consumer Services,RETAIL: Building Materials,NASDAQ
BBBY,Bed Bath & Beyond Inc.,14.73,1992.0,2024969232.69,Consumer Services,Home Furnishings,NASDAQ
BGNE,"BeiGene, Ltd.",143.28,2016.0,5414578996.32,Health Care,Major Pharmaceuticals,NASDAQ
BNCL,"Beneficial Bancorp, Inc.",15.35,,1148202288.2,Finance,Savings Institutions,NASDAQ
BNFT,"Benefitfocus, Inc.",53.95,2013.0,1724271510.65,Technology,Computer Software: Prepackaged Software,NASDAQ
BRY,Berry Petroleum Corporation,10.94,2018.0,893263012.12,Energy,Oil & Gas Production,NASDAQ
BGCP,"BGC Partners, Inc.",6.34,,2093468000.0,Finance,Investment Bankers/Brokers/Service,NASDAQ
BILI,Bilibili Inc.,16.71,2018.0,920015102.76,Technology,EDP Services,NASDAQ
BCRX,"BioCryst Pharmaceuticals, Inc.",9.39,1994.0,1029529403.16,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),NASDAQ
BIIB,Biogen Inc.,337.42,,67984257204.9,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),NASDAQ
BMRN,BioMarin Pharmaceutical Inc.,97.69,1999.0,17394887135.14,Health Care,Major Pharmaceuticals,NASDAQ
TECH,Bio-Techne Corp,163.17,,6162239875.05,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),NASDAQ
BEAT,"BioTelemetry, Inc.",68.35,2008.0,2276246106.6,Health Care,Medical Specialities,NASDAQ
BJRI,"BJ&#39;s Restaurants, Inc.",54.17,,1153393923.72,Consumer Services,Restaurants,NASDAQ
BLKB,"Blackbaud, Inc.",70.74,2004.0,3435772757.76,Technology,Computer Software: Prepackaged Software,NASDAQ
BL,"BlackLine, Inc.",46.79,2016.0,2556836602.23,Technology,Computer Software: Prepackaged Software,NASDAQ
